alpha,old_C_HD_log_exponent,proposed_log_exponent,improvement
0.5,0.8333333333333334,0.75,0.08333333333333337
0.6,0.8666666666666667,0.8,0.06666666666666665
0.7,0.9,0.85,0.050000000000000044
0.75,0.9166666666666666,0.875,0.04166666666666663
0.8,0.9333333333333332,0.9,0.033333333333333215
0.9,0.9666666666666667,0.95,0.01666666666666672
