alpha,candidate,current_C_HD,Dijkstra,DMM25,DMSY26_dominant_power,best_current_power_including_C_HD,candidate_power_improvement,candidate_strictly_lower_power,alpha0_note
0,0.5,0.6666666666666666,1,0.6666666666666666,0.5,0.5,0,false,"same log power as DMSY26 but candidate lacks sqrt(loglog n)"
0.05,0.525,0.6833333333333332,1,0.7166666666666667,0.55,0.55,0.025000000000000022,true,""
0.1,0.55,0.7000000000000001,1,0.7666666666666666,0.6,0.6,0.04999999999999993,true,""
0.15,0.575,0.7166666666666667,1,0.8166666666666667,0.65,0.65,0.07500000000000007,true,""
0.2,0.6,0.7333333333333334,1,0.8666666666666667,0.7,0.7,0.09999999999999998,true,""
0.25,0.625,0.75,1,0.9166666666666666,0.75,0.75,0.125,true,""
0.3,0.65,0.7666666666666666,1,0.9666666666666666,0.8,0.7666666666666666,0.11666666666666659,true,""
0.35,0.675,0.7833333333333333,1,1.0166666666666666,0.85,0.7833333333333333,0.10833333333333328,true,""
0.4,0.7,0.7999999999999999,1,1.0666666666666667,0.9,0.7999999999999999,0.09999999999999998,true,""
0.45,0.725,0.8166666666666668,1,1.1166666666666667,0.95,0.8166666666666668,0.09166666666666679,true,""
0.5,0.75,0.8333333333333334,1,1.1666666666666665,1,0.8333333333333334,0.08333333333333337,true,""
0.55,0.775,0.85,1,1.2166666666666668,1.05,0.85,0.07499999999999996,true,""
0.6,0.8,0.8666666666666667,1,1.2666666666666666,1.1,0.8666666666666667,0.06666666666666665,true,""
0.65,0.825,0.8833333333333333,1,1.3166666666666667,1.15,0.8833333333333333,0.05833333333333335,true,""
0.7,0.85,0.9,1,1.3666666666666667,1.2,0.9,0.050000000000000044,true,""
0.75,0.875,0.9166666666666666,1,1.4166666666666665,1.25,0.9166666666666666,0.04166666666666663,true,""
