r,alpha,t_log_exponent_b,k_log_exponent_c,optimized_runtime_log_exponent,max_checked_term
0.0,0.75,0.125,0.125,0.875,0.875
0.25,0.75,0.1388888888888889,0.1111111111111111,0.8888888888888888,0.8888888888888888
0.5,0.75,0.15,0.1,0.9,0.9
0.75,0.75,0.1590909090909091,0.09090909090909091,0.9090909090909091,0.9090909090909091
1.0,0.75,0.16666666666666666,0.08333333333333333,0.9166666666666666,0.9166666666666666
